thesis	attempt	metric	baseline	status	summary
#1	thesis/1-replace-number-new-date-with-date-now	106.4000	117.8600	accepted	Replaced Number(new Date()) with Date.now() on common.js:75. Primary 117.86 -> 106.40 ms (-11.46 ms, 9.7% faster). Guard 25.90 -> 26.12 ms (+0.22 ms, within 3 ms tolerance). Fingerprints match. 16 tests pass, lint warnings only.
#2	thesis/2-fast-path-format-strings-without-specifiers	104.6200	117.8600	accepted	Wrapped format regex in indexOf('%') check on common.js:91. Skips regex replacement entirely when args[0] has no format specifiers (~50% of bench calls). Primary 117.86 -> 104.62 ms (-13.24 ms, 11.2%). Guard 25.90 -> 24.72 ms (slight improvement). Fingerprints match. 16 tests pass, lint warnings only.
#6	thesis/6-short-circuit-split-join-for-single-line-messages-in-formatargs	252.9400	286.6100	non_improvement	Added indexOf newline short-circuit in formatArgs (node.js:175). Primary 286.61 -> 252.94 ms (-33.67 ms, 11.7%). Guard 56.97 -> 54.53 ms. Fingerprints match. 16 tests pass, lint clean.
#5	thesis/5-pre-compute-ansi-color-prefix-per-instance-at-init-time	264.2000	291.2100	non_improvement	Cache ANSI colorCode and colorPrefix in init() so formatArgs reuses them instead of recomputing every call. Primary 291.21 -> 264.20 ms (-27.01 ms, 9.3%). Guard 54.67 -> 54.87 ms (stable). Fingerprints match. 16 tests pass, lint clean.
#7	thesis/7-replace-formatters-o-split-map-join-with-regex-replace	274.8600	277.6900	discarded	Replaced formatters.o split/map/join with regex /\\n\\s*/g replace. Correctness preserved (fingerprints match, 16 tests pass, lint clean). Primary 277.69 -> 274.86 ms (-2.83 ms) — below 3 ms threshold. As predicted, bench exercises %O (formatters.O), not %o.
#8	thesis/8-avoid-args-splice-in-format-string-processing-build-new-array	264.4300	275.9500	non_improvement	Replaced args.splice O(n) mutation in format-string callback with a fresh newArgs array built in one pass (common.js:90). Primary 275.95 -> 264.43 ms (-11.52 ms, 4.2%). Guard stable. Fingerprints match. 16 tests pass, lint clean.
#12	thesis/12-cache-ms-humanize-result-for-identical-consecutive-diffs	265.0200	292.2800	non_improvement	Cached last diff/humanized pair on debug instance in formatArgs (node.js:176). Skips ms.humanize() when diff unchanged. 5-run medians: primary 292.28 -> 265.02 ms (-27.26 ms, 9.3%). Guard 55.51 -> 57.33 ms (+1.82, within 3 ms tolerance). Fingerprints match. 16 tests pass, lint clean.
#11	thesis/11-eliminate-per-call-self-prev-and-self-curr-property-writes	276.7400	286.2300	non_improvement	Replaced self.prev/self.curr per-call writes with Object.defineProperty getters backed by closure vars. 5-run medians: primary 286.23 -> 276.74 ms (-9.49 ms, 3.3%). Guard stable. Fingerprints match. 16 tests pass, lint clean.
#13	thesis/13-combined-cache-color-prefix-short-circuit-newline-split-and-cache-humanize	247.0400	286.0100	non_improvement	Combined 3 formatArgs optimizations: cached _colorCode/_colorPrefix in init(), indexOf newline guard, humanize cache on (_lastDiff,_lastHumanized). 5-run medians: primary 286.01 -> 247.04 ms (-38.97 ms, 13.6%). Guard stable. Fingerprints match. 16 tests pass, lint clean.
#22	thesis/22-skip-coerce-and-inline-string-type-check	277.1600	282.8400	non_improvement	Inlined typeof check: coerce only runs when args[0] is not already a string (common.js:82). 5-run medians: primary 282.84 -> 277.16 ms (-5.68 ms, 2%). Guard 55.80 -> 57.67 ms (+1.87, within 3 ms tolerance). Fingerprints match. 16 tests pass, lint clean.
